objectid,zipcode,shapearea,shapelen
76,46206,716080.3324,3856.189747
83,46235,244469989.3,132947.3558
89,46239,810593263.1,186837.8974
77,46260,284634374.7,103972.2545
51,46113,424166779.7,127628.2668
75,46205,179509793.7,101533.8764
59,46234,321598574.0,143685.0023
74,46259,476534270.0,145721.5258
69,46278,370758033.2,112515.4842
82,46229,309081253.7,119436.1998
72,46203,397018588.7,186008.3107
50,46222,323397157.4,108768.1141
81,46208,186343873.1,97051.73759
54,46256,358264009.6,150516.9846
687,46228,223360606.1,80306.16985
68,46107,82345580.0,81819.34892
79,46241,695471417.8,182857.5374
61,46183,3460276.694,10770.6734
84,46218,267966448.2,102742.8217
91,46220,339448508.6,125021.3664
80,46250,214458891.5,78326.37205
67,46240,287495252.8,99800.12954
73,46202,168341611.1,121518.2139
64,46225,118999630.8,77056.70595
62,46219,374999709.7,128436.3169
48,46231,321704805.9,144265.4911
688,46268,362476021.6,117095.4116
85,46227,459306604.0,120461.2451
53,46226,388365899.0,136832.0879
52,46201,152681363.6,75221.66413
60,46237,409400525.9,149170.2553
55,46254,357039568.2,115904.8834
689,46228,0.00199519,0.259369304
367,46204,32335908.16,54438.82834
63,46236,319837238.4,164876.4095
56,46216,95557744.84,48925.65634
65,46221,574863227.4,189648.9572
78,46217,591959764.2,142234.4771
58,46224,197734277.3,82196.55877
86,46214,206317137.0,97621.43316
49,46077,735445771.4,125920.259
